"ID","Sex","Twin","Horn","BirthYear","BirthWt","DaysSinceBirth","MumID","MumAge","PopSize","IGF1","PlateNumber","ELISARunDate","StorageTime","CapHour_Tertiles","Weight","ForeLeg","HornLen","BredAsAYearling","Survival"
10543,1,0,2,2016,2.25,111,8751,4,444,448.0601204,3,"7/3/2024",7,"Afternoon",12,112,NA,1,1
10606,1,0,3,2016,2.519999981,105,7575,6,444,558.15917365,3,"7/3/2024",7,"Afternoon",13.8,110,115,0,0
10622,1,0,2,2016,2.549999952,106,6945,8,444,894.7806078,3,"7/3/2024",7,"Morning",14.85,119,NA,1,1
10545,1,0,2,2016,2.299999952,111,7172,7,444,816.8666924,3,"7/3/2024",7,"Afternoon",13.15,116,NA,1,NA
10521,1,0,1,2016,1.950000048,122,9093,3,444,898.0018565,3,"7/3/2024",7,"Afternoon",12.05,108,NA,1,0
10532,2,0,3,2016,2.180000067,121,8759,4,444,704.05795865,3,"7/3/2024",7,"Evening",14.7,111,144,NA,0
10609,2,0,3,2016,2.150000095,113,9240,4,444,600.46300775,3,"7/3/2024",7,"Evening",17.7,115,114,0,NA
10615,2,0,3,2016,1.570000052,105,9841,2,444,538.1395059,3,"7/3/2024",7,"Morning",10.55,101,76,0,0
10559,2,0,3,2016,1.600000024,115,9214,3,444,633.4381455,3,"7/3/2024",7,"Evening",13.7,107,154,0,0
10514,2,0,3,2016,2,121,8958,4,444,626.92288775,3,"7/3/2024",7,"Evening",15.95,115,138,0,1
12658,2,0,3,2021,2.529999971,117,10518,5,557,859.5285874,3,"7/3/2024",2,"Morning",16.4,112,174,0,1
12579,1,0,1,2021,2.210000038,124,11393,5,557,528.91358435,3,"7/3/2024",2,"Afternoon",12.35,101,1,1,0
12556,1,1,2,2021,1.700000048,134,10191,6,557,486.09858135,3,"7/3/2024",2,"Morning",10.25,101,NA,0,0
12865,2,0,3,2021,NA,122,11589,3,557,1125.3658525,3,"7/3/2024",2,"Afternoon",9.1,106,83,0,0
12588,2,0,3,2021,1.600000024,119,11508,3,557,641.7727099,3,"7/3/2024",2,"Afternoon",12.4,104,127,0,1
12620,1,0,3,2021,2.599999905,124,10251,6,557,607.12241145,3,"7/3/2024",2,"Morning",14,107,112,1,0
12695,2,0,3,2021,2.150000095,109,11974,2,557,520.3856726,3,"7/3/2024",2,"Afternoon",10.9,111,85,0,0
12595,2,1,3,2021,1.799999952,125,8759,9,557,537.294955,3,"7/3/2024",2,"Morning",10.6,102,100,0,0
12590,1,0,1,2021,2.599999905,117,10642,5,557,645.0602369,3,"7/3/2024",2,"Morning",14.5,117,4,1,1
12730,2,0,3,2021,2.599999905,114,11950,2,557,450.61773165,3,"7/3/2024",2,"Afternoon",12.45,105,135,0,0
12697,1,0,1,2021,2.299999952,111,11580,3,557,576.4567778,3,"7/3/2024",2,"Afternoon",11.65,109,NA,0,1
12727,1,0,3,2021,2.210000038,114,11987,2,557,635.8783579,3,"7/3/2024",2,"Evening",11.4,105,88,0,1
12630,1,0,3,2021,2.50999999,119,11618,3,557,586.32177565,3,"7/3/2024",2,"Morning",14.65,116,116,1,0
12606,2,0,3,2021,2.599999905,117,10575,5,557,791.02875035,3,"7/3/2024",2,"Afternoon",16.05,116,93,1,1
12728,2,0,3,2021,1.950000048,114,9217,8,557,514.67562775,3,"7/3/2024",2,"Evening",10.25,106,90,0,0
12619,2,0,3,2021,3.549999952,122,9759,7,557,798.26217995,3,"7/3/2024",2,"Evening",16.35,121,154,0,1
12668,2,0,3,2021,1.820000052,113,11949,2,557,531.26544755,3,"7/3/2024",2,"Afternoon",11.3,101,118,0,1
12743,1,0,2,2021,1.940000057,106,11923,2,557,377.0894218,3,"7/3/2024",2,"Evening",9.8,99,NA,0,0
12875,2,0,1,2021,NA,129,11575,3,557,686.32422795,4,"7/3/2024",2,"Evening",11.2,109,18,0,0
12604,1,0,2,2021,2.640000105,124,9211,8,557,658.5763187,4,"7/3/2024",2,"Morning",10.55,107,NA,0,0
12693,1,0,3,2021,2.00999999,112,11631,3,557,665.17972005,4,"7/3/2024",2,"Evening",12.55,108,104,0,0
12859,1,0,3,2021,NA,92,8721,9,557,782.02764155,4,"7/3/2024",2,"Morning",12.5,109,90,0,0
12669,2,0,3,2021,2.380000114,116,9075,8,557,706.1204117,4,"7/3/2024",2,"Morning",15.3,113,174,0,1
12864,1,0,2,2021,NA,122,11620,3,557,985.020111,4,"7/3/2024",2,"Afternoon",7.5,103,NA,0,0
12860,1,0,2,2021,NA,83,11939,2,557,736.41332455,4,"7/3/2024",2,"Afternoon",9.9,108,1,0,0
12608,2,0,3,2021,1.590000033,124,11635,3,557,524.92205915,4,"7/3/2024",2,"Morning",13.2,104,173,0,0
12675,1,1,2,2021,1.909999967,111,10438,6,557,586.96431205,4,"7/3/2024",2,"Afternoon",11.55,107,NA,1,0
12745,2,0,3,2021,4.800000191,106,8712,9,557,578.08397055,4,"7/3/2024",2,"Evening",12.35,109,90,0,0
12747,2,0,3,2021,3.799999952,108,12038,2,557,781.1497573,4,"7/3/2024",2,"Morning",11.55,106,138,0,0
12576,1,0,1,2021,2.640000105,119,12866,4,557,748.00863545,4,"7/3/2024",2,"Morning",14.35,118,3,0,1
12600,2,0,3,2021,2.299999952,123,11549,3,557,649.6147243,4,"7/3/2024",2,"Afternoon",13.1,108,70,0,0
12704,1,0,1,2021,2.599999905,114,9769,7,557,762.01442155,4,"7/3/2024",2,"Morning",11.7,107,5,0,1
12721,2,0,3,2021,2.400000095,107,10594,5,557,674.1776608,4,"7/3/2024",2,"Afternoon",13.2,111,70,1,0
12602,2,0,3,2021,2.319999933,123,11805,NA,557,634.82438835,4,"7/3/2024",2,"Evening",13.5,110,174,0,1
12705,2,0,3,2021,2.599999905,109,10255,6,557,739.8852489,4,"7/3/2024",2,"Morning",13,105,152,0,0
12702,1,0,3,2021,1.799999952,109,9904,7,557,656.84915635,4,"7/3/2024",2,"Morning",9.6,107,84,0,0
